CHECKPOINT	TASK_1	TASK_2	TASK_3	TASK_4	TASK_5	TASK_6	TASK_7	TASK_8	TASK_9	TASK_10	TASK_11	TASK_12	TASK_13	TASK_14	TASK_15	TASK_16	TASK_17	TASK_18	TASK_19	TASK_20	TASK_21	TASK_22	TASK_23
checkpoint-100	0.6854	0.6335	0.7756	0.7638	0.6803	0.806	0.7512	0.7156	0.8074	0.722	0.7369	0.6759	0.6579	0.6926	0.6142	0.7566	0.6953	0.7707	0.8686	0.7255	0.6954	0.5808	0.6908
checkpoint-150	0.6605	0.661	0.767	0.7499	0.6789	0.8014	0.7646	0.7129	0.8099	0.7317	0.7435	0.6529	0.6743	0.6967	0.6148	0.7549	0.6891	0.7677	0.8681	0.7258	0.6883	0.5851	0.727
checkpoint-200	0.6885	0.6432	0.778	0.7558	0.691	0.8057	0.7645	0.7105	0.8172	0.7348	0.7322	0.6731	0.674	0.7075	0.631	0.7627	0.6999	0.7763	0.8696	0.7272	0.6842	0.5913	0.7328
checkpoint-250	0.671	0.6607	0.7779	0.7574	0.6979	0.8041	0.7591	0.7342	0.8177	0.7373	0.7424	0.6833	0.6742	0.7174	0.6252	0.7648	0.7066	0.7733	0.875	0.741	0.7051	0.5803	0.7363
checkpoint-300	0.679	0.6564	0.7715	0.7561	0.7062	0.8039	0.7715	0.7214	0.8233	0.7463	0.7485	0.6596	0.68	0.7268	0.6249	0.7744	0.697	0.7796	0.8725	0.7315	0.6944	0.5956	0.735
checkpoint-350	0.6858	0.6555	0.7718	0.7412	0.7017	0.7985	0.7589	0.7035	0.8224	0.7466	0.7421	0.6497	0.682	0.7371	0.635	0.768	0.6972	0.7802	0.8702	0.7306	0.7007	0.5631	0.7392
checkpoint-400	0.6903	0.6489	0.7799	0.7471	0.7086	0.8013	0.766	0.7071	0.8195	0.7457	0.7499	0.6547	0.6753	0.7258	0.6292	0.7716	0.6928	0.7793	0.8709	0.7324	0.6967	0.6012	0.7402
checkpoint-450	0.6941	0.6541	0.778	0.7457	0.7141	0.8017	0.7708	0.7001	0.8209	0.7457	0.7496	0.6499	0.6826	0.7398	0.627	0.7702	0.6886	0.7783	0.8689	0.7271	0.6898	0.5998	0.737
checkpoint-500	0.6942	0.6597	0.7795	0.7418	0.7121	0.8019	0.7514	0.7151	0.8216	0.7437	0.7466	0.6609	0.6749	0.7377	0.6376	0.7745	0.6965	0.7753	0.8716	0.724	0.708	0.5704	0.7361
checkpoint-550	0.689	0.6614	0.7755	0.7482	0.722	0.805	0.7677	0.7239	0.8307	0.7445	0.7472	0.6663	0.6713	0.7392	0.6254	0.7655	0.705	0.7784	0.8714	0.735	0.6969	0.5878	0.7548
